Token,Frequency (in %)
lucky,0.01283845373663196
slighted,0.007703072241979176
upon,0.17075143469720508
account,0.07061149555147578
make,0.1938606514231426
servant,0.007703072241979176
girl,0.05905688718850702
opinion,0.08858533078276053
Whenever,0.007703072241979176
curtseys,0.001283845373663196
asks,0.003851536120989588
pretty,0.08088225854078135
manner,0.0962884030247397
needlework,0.001283845373663196
observe,0.02567690747326392
turns,0.011554608362968764
lock,0.001283845373663196
door,0.056489196441180625
right,0.11297839288236125
bangs,0.001283845373663196
comfort,0.08216610391444454
somebody,0.014122299110295156
goes,0.007703072241979176
hearing,0.04108305195722227
tell,0.09372071227741331
spared,0.008986917615642373
exertions,0.007703072241979176
maintain,0.005135381494652784
flow,0.007703072241979176
ideas,0.020541525978611135
hoped,0.05520535106751743
help,0.050069969572864644
backgammon,0.001283845373663196
tolerably,0.01925768060494794
attacked,0.002567690747326392
regrets,0.007703072241979176
placed,0.01925768060494794
visitor,0.011554608362968764
immediately,0.08730148540909732
afterwards,0.052637660320191036
walked,0.06675995943048618
unnecessary,0.010270762989305567
Knightley,0.47887432437637206
sensible,0.032096134341579895
intimate,0.01283845373663196
connected,0.014122299110295156
elder,0.005135381494652784
brother,0.06547611405682299
frequent,0.010270762989305567
welcome,0.020541525978611135
directly,0.06419226868315979
mutual,0.00641922686831598
connexions,0.01283845373663196
returned,0.04878612419920145
late,0.03337997971524309
days,0.06290842330949661
absence,0.017973835231284745
Brunswick,0.014122299110295156
Square,0.01283845373663196
circumstance,0.04365074270454866
animated,0.00641922686831598
inquiries,0.01283845373663196
answered,0.028244598220590313
satisfactorily,0.002567690747326392
When,0.06547611405682299
gratefully,0.005135381494652784
observed,0.026960752846927116
come,0.20284756903878498
call,0.052637660320191036
afraid,0.08344994928810774
shocking,0.00641922686831598
Not,0.050069969572864644
sir,0.07959841316711816
beautiful,0.02952844359425351
moonlight,0.002567690747326392
mild,0.005135381494652784
draw,0.01283845373663196
back,0.08344994928810774
fire,0.020541525978611135
found,0.11811377437701404
damp,0.007703072241979176
dirty,0.00641922686831598
catch,0.017973835231284745
cold,0.06932765017781259
Dirty,0.001283845373663196
Look,0.00641922686831598
shoes,0.005135381494652784
speck,0.001283845373663196
Well,0.11041070213503486
quite,0.3453544055153997
surprising,0.002567690747326392
vast,0.007703072241979176
rain,0.026960752846927116
rained,0.001283845373663196
dreadfully,0.010270762989305567
hard,0.015406144483958353
breakfast,0.015406144483958353
wanted,0.0950045576510765
By,0.016689989857621546
bye,0.011554608362968764
joy,0.023109216725937527
Being,0.002567690747326392
sort,0.14250683647661477
feeling,0.07189534092513898
hurry,0.030812288967916705
congratulations,0.00641922686831598
hope,0.18230604306017384
went,0.05905688718850702
behave,0.003851536120989588
Who,0.016689989857621546
cried,0.10142378451939249
Ah,0.05905688718850702
business,0.06932765017781259
please,0.04493458807821186
possibly,0.02182537135227433
regard,0.05520535106751743
comes,0.030812288967916705
question,0.050069969572864644
dependence,0.014122299110295156
independence,0.014122299110295156
At,0.04365074270454866
rate,0.015406144483958353
better,0.20926679590710096
Especially,0.001283845373663196
fanciful,0.003851536120989588
troublesome,0.011554608362968764
creature,0.050069969572864644
playfully,0.002567690747326392
head,0.04750227882553825
certainly,0.11554608362968764
believe,0.1296683827399828
sometimes,0.04750227882553825
dearest,0.02567690747326392
mean,0.07317918629880217
horrible,0.00641922686831598
idea,0.12710069199265642
Oh,0.23751139412769126
meant,0.05520535106751743
loves,0.011554608362968764
joke,0.007703072241979176
another,0.13351991886097236
fact,0.02952844359425351
faults,0.014122299110295156
told,0.10013993914572929
agreeable,0.06419226868315979
knew,0.11297839288236125
suspect,0.026960752846927116
knows,0.03851536120989588
flatter,0.00641922686831598
reflection,0.023109216725937527
persons,0.011554608362968764
chances,0.00641922686831598
gainer,0.001283845373663196
willing,0.016689989857621546
let,0.08216610391444454
pass,0.03851536120989588
hear,0.12710069199265642
behaved,0.011554608362968764
charmingly,0.005135381494652784
Every,0.04750227882553825
punctual,0.001283845373663196
looks,0.03594767046256949
tear,0.005135381494652784
face,0.04108305195722227
seen,0.09372071227741331
apart,0.003851536120989588
Dear,0.02952844359425351
bears,0.002567690747326392
sorry,0.07703072241979177
lose,0.024393062099600724
miss,0.008986917615642373
thinks,0.02952844359425351
turned,0.03723151583623269
divided,0.005135381494652784
tears,0.011554608362968764
smiles,0.017973835231284745
acceptable,0.010270762989305567
important,0.023109216725937527
secure,0.011554608362968764
provision,0.003851536120989588
therefore,0.07959841316711816
allow,0.060340732562170214
pain,0.03979920658355908
happily,0.01925768060494794
forgotten,0.024393062099600724
matter,0.03851536120989588
considerable,0.02182537135227433
four,0.028244598220590313
proved,0.020541525978611135
marry,0.08088225854078135
shook,0.010270762989305567
fondly,0.005135381494652784
replied,0.10013993914572929
matches,0.007703072241979176
foretell,0.002567690747326392
whatever,0.020541525978611135
Pray,0.01925768060494794
none,0.034663825088906294
greatest,0.03723151583623269
amusement,0.016689989857621546
success,0.01283845373663196
widower,0.001283845373663196
perfectly,0.08216610391444454
constantly,0.010270762989305567
occupied,0.020541525978611135
either,0.07831456779345496
friends,0.10527532064038207
wherever,0.008986917615642373
need,0.05392150569385423
spend,0.023109216725937527
single,0.023109216725937527
year,0.034663825088906294
alone,0.03337997971524309
Some,0.017973835231284745
deathbed,0.001283845373663196
others,0.07574687704612856
son,0.05392150569385423
uncle,0.026960752846927116
letting,0.003851536120989588
solemn,0.00641922686831598
nonsense,0.01925768060494794
subject,0.12196531049800362
believed,0.05905688718850702
Ever,0.005135381494652784
since,0.08088225854078135
met,0.04878612419920145
Broadway,0.001283845373663196
Lane,0.007703072241979176
began,0.08216610391444454
drizzle,0.001283845373663196
darted,0.003851536120989588
gallantry,0.015406144483958353
borrowed,0.002567690747326392
umbrellas,0.002567690747326392
Farmer,0.001283845373663196
Mitchell,0.001283845373663196
planned,0.002567690747326392
blessed,0.007703072241979176
instance,0.011554608362968764
leave,0.06675995943048618
understand,0.08601764003543413
Success,0.001283845373663196
supposes,0.001283845373663196
endeavour,0.017973835231284745
Your,0.034663825088906294
properly,0.01283845373663196
delicately,0.001283845373663196
endeavouring,0.003851536120989588
bring,0.04878612419920145
worthy,0.023109216725937527
employment,0.01283845373663196
young,0.24393062099600724
lady,0.09115302153008692
imagine,0.06804380480414939
making,0.06419226868315979
planning,0.003851536120989588
saying,0.06547611405682299
idle,0.005135381494652784
talk,0.07703072241979177
Where,0.020541525978611135
merit,0.016689989857621546
proud,0.010270762989305567
guess,0.030812288967916705
known,0.07189534092513898
triumph,0.007703072241979176
cleverer,0.003851536120989588
depend,0.020541525978611135
merely,0.03723151583623269
luck,0.011554608362968764
There,0.1656160532025523
talent,0.011554608362968764
word,0.11811377437701404
quarrel,0.014122299110295156
claim,0.015406144483958353
drawn,0.01925768060494794
pictures,0.002567690747326392
something,0.13480376423463558
If,0.14122299110295156
visits,0.017973835231284745
given,0.0988560937720661
encouragements,0.001283845373663196
smoothed,0.002567690747326392
matters,0.01283845373663196
enough,0.16433220782888908
comprehend,0.01925768060494794
straightforward,0.003851536120989588
unaffected,0.005135381494652784
safely,0.024393062099600724
manage,0.00641922686831598
likely,0.05777304181484382
harm,0.016689989857621546
interference,0.008986917615642373
rejoined,0.002567690747326392
understanding,0.032096134341579895
pray,0.014122299110295156
silly,0.015406144483958353
break,0.015406144483958353
circle,0.02182537135227433
grievously,0.001283845373663196
Only,0.017973835231284745
Elton,0.4852935512446881
look,0.14635837259760434
whole,0.09372071227741331
fitted,0.001283845373663196
comfortably,0.014122299110295156
shame,0.011554608362968764
longer,0.07446303167246537
joining,0.002567690747326392
hands,0.02952844359425351
service,0.026960752846927116
shew,0.03594767046256949
attention,0.07574687704612856
ask,0.05520535106751743
dare,0.07574687704612856
With,0.03851536120989588
laughing,0.020541525978611135
Invite,0.002567690747326392
fish,0.001283845373663196
chicken,0.002567690747326392
chuse,0.02952844359425351
Depend,0.01283845373663196
six,0.011554608362968764
care,0.06419226868315979
II,0.005135381494652784
native,0.00641922686831598
born,0.007703072241979176
respectable,0.02567690747326392
generations,0.002567690747326392
rising,0.007703072241979176
gentility,0.007703072241979176
property,0.007703072241979176
received,0.046218433451875054
education,0.020541525978611135
succeeding,0.00641922686831598
small,0.03723151583623269
become,0.015406144483958353
indisposed,0.003851536120989588
homely,0.001283845373663196
pursuits,0.002567690747326392
brothers,0.005135381494652784
engaged,0.04493458807821186
satisfied,0.06290842330949661
active,0.008986917615642373
social,0.007703072241979176
entering,0.010270762989305567
militia,0.002567690747326392
county,0.002567690747326392
embodied,0.001283845373663196
Captain,0.003851536120989588
general,0.08216610391444454
favourite,0.02952844359425351
military,0.001283845373663196
introduced,0.010270762989305567
Churchill,0.2734590645902607
Yorkshire,0.010270762989305567
fell,0.01283845373663196
love,0.15020990871859394
surprized,0.03979920658355908
except,0.03979920658355908
full,0.056489196441180625
pride,0.023109216725937527
importance,0.015406144483958353
connexion,0.02567690747326392
offend,0.003851536120989588
command,0.020541525978611135
bore,0.008986917615642373
proportion,0.005135381494652784
dissuaded,0.001283845373663196
took,0.060340732562170214
infinite,0.003851536120989588
mortification,0.014122299110295156
threw,0.002567690747326392
due,0.02952844359425351
decorum,0.002567690747326392
unsuitable,0.003851536120989588
produce,0.01283845373663196
ought,0.11939761975067723
whose,0.050069969572864644
warm,0.03594767046256949
sweet,0.02567690747326392
return,0.07189534092513898
goodness,0.008986917615642373
spirit,0.03337997971524309
resolution,0.03979920658355908
pursue,0.001283845373663196
refrain,0.00641922686831598
unreasonable,0.011554608362968764
anger,0.008986917615642373
missing,0.003851536120989588
luxuries,0.001283845373663196
former,0.016689989857621546
income,0.011554608362968764
still,0.13993914572928837
nothing,0.29913597206352466
comparison,0.01283845373663196
Enscombe,0.046218433451875054
cease,0.008986917615642373
considered,0.024393062099600724
especially,0.030812288967916705
Churchills,0.01925768060494794
amazing,0.005135381494652784
worst,0.024393062099600724
bargain,0.002567690747326392
poorer,0.001283845373663196
child,0.04878612419920145
From,0.014122299110295156
expense,0.008986917615642373
relieved,0.00641922686831598
boy,0.015406144483958353
additional,0.005135381494652784
softening,0.002567690747326392
lingering,0.001283845373663196
illness,0.011554608362968764
reconciliation,0.002567690747326392
kindred,0.001283845373663196
offered,0.010270762989305567
charge,0.023109216725937527
Frank,0.26575599234828157
decease,0.002567690747326392
scruples,0.01283845373663196
reluctance,0.003851536120989588
supposed,0.04493458807821186
overcome,0.010270762989305567
considerations,0.002567690747326392
wealth,0.008986917615642373
seek,0.007703072241979176
improve,0.008986917615642373
complete,0.02567690747326392
became,0.02952844359425351
desirable,0.023109216725937527
quitted,0.011554608362968764
trade,0.005135381494652784
established,0.00641922686831598
favourable,0.016689989857621546
opening,0.01925768060494794
concern,0.02182537135227433
leisure,0.016689989857621546
occupation,0.005135381494652784
pleasures,0.011554608362968764
eighteen,0.005135381494652784
twenty,0.010270762989305567
realised,0.002567690747326392
competence,0.001283845373663196
purchase,0.007703072241979176
estate,0.003851536120989588
adjoining,0.007703072241979176
